team,opp_team,gamedate,game_number,offensive_rebounds,off_rebound_chances,Offensive_rebound_perc
BOS,PHI,2022-10-18,1,10,39,0.2564102564102564
PHI,BOS,2022-10-18,1,8,42,0.1904761904761904
GSW,LAL,2022-10-18,1,16,57,0.2807017543859649
LAL,GSW,2022-10-18,1,14,57,0.2456140350877192
ORL,DET,2022-10-19,1,13,47,0.2765957446808511
DET,ORL,2022-10-19,1,17,58,0.293103448275862
IND,WAS,2022-10-19,1,18,62,0.2903225806451613
WAS,IND,2022-10-19,1,18,51,0.3529411764705882
ATL,HOU,2022-10-19,1,6,47,0.1276595744680851
HOU,ATL,2022-10-19,1,17,56,0.3035714285714285
NOP,BKN,2022-10-19,1,24,56,0.4285714285714285
BKN,NOP,2022-10-19,1,12,53,0.2264150943396226
CHI,MIA,2022-10-19,1,17,56,0.3035714285714285
MIA,CHI,2022-10-19,1,9,46,0.1956521739130435
CLE,TOR,2022-10-19,1,8,41,0.1951219512195122
TOR,CLE,2022-10-19,1,17,53,0.320754716981132
NYK,MEM,2022-10-19,1,22,68,0.3235294117647059
MEM,NYK,2022-10-19,1,28,70,0.4
MIN,OKC,2022-10-19,1,18,60,0.3
OKC,MIN,2022-10-19,1,20,63,0.3174603174603174
DAL,PHX,2022-10-19,1,10,46,0.217391304347826
PHX,DAL,2022-10-19,1,12,47,0.2553191489361702
POR,SAC,2022-10-19,1,14,53,0.2641509433962264
SAC,POR,2022-10-19,1,11,47,0.2340425531914893
SAS,CHA,2022-10-19,1,18,61,0.2950819672131147
CHA,SAS,2022-10-19,1,16,48,0.3333333333333333
DEN,UTA,2022-10-19,1,11,44,0.25
UTA,DEN,2022-10-19,1,18,44,0.4090909090909091
MIL,PHI,2022-10-20,1,11,52,0.2115384615384615
PHI,MIL,2022-10-20,2,6,48,0.125
LAC,LAL,2022-10-20,1,13,46,0.2826086956521739
LAL,LAC,2022-10-20,2,13,65,0.2
PHX,POR,2022-10-21,2,15,53,0.2830188679245283
POR,PHX,2022-10-21,2,15,49,0.3061224489795918
DEN,GSW,2022-10-21,2,12,42,0.2857142857142857
GSW,DEN,2022-10-21,2,14,48,0.2916666666666667
MIN,UTA,2022-10-21,2,25,61,0.4098360655737705
UTA,MIN,2022-10-21,2,24,67,0.3582089552238806
HOU,MEM,2022-10-21,2,20,56,0.3571428571428571
MEM,HOU,2022-10-21,2,22,57,0.3859649122807017
NYK,DET,2022-10-21,2,14,50,0.28
DET,NYK,2022-10-21,2,18,58,0.3103448275862069
BOS,MIA,2022-10-21,2,13,38,0.3421052631578947
MIA,BOS,2022-10-21,2,16,51,0.3137254901960784
BKN,TOR,2022-10-21,2,13,47,0.2765957446808511
TOR,BKN,2022-10-21,2,14,48,0.2916666666666667
ATL,ORL,2022-10-21,2,14,49,0.2857142857142857
ORL,ATL,2022-10-21,2,11,49,0.2244897959183673
CHI,WAS,2022-10-21,2,11,48,0.2291666666666666
WAS,CHI,2022-10-21,2,7,39,0.1794871794871795
IND,SAS,2022-10-21,2,20,53,0.3773584905660377
SAS,IND,2022-10-21,2,9,43,0.2093023255813953
NOP,CHA,2022-10-21,2,20,48,0.4166666666666667
CHA,NOP,2022-10-21,2,14,53,0.2641509433962264
CLE,CHI,2022-10-22,2,13,38,0.3421052631578947
CHI,CLE,2022-10-22,3,10,52,0.1923076923076923
MIA,TOR,2022-10-22,3,11,40,0.275
TOR,MIA,2022-10-22,3,13,53,0.2452830188679245
HOU,MIL,2022-10-22,3,19,61,0.3114754098360656
MIL,HOU,2022-10-22,2,10,42,0.238095238095238
DAL,MEM,2022-10-22,2,21,48,0.4375
MEM,DAL,2022-10-22,3,10,49,0.2040816326530612
DEN,OKC,2022-10-22,3,14,53,0.2641509433962264
OKC,DEN,2022-10-22,2,15,56,0.2678571428571428
LAC,SAC,2022-10-22,2,8,42,0.1904761904761904
SAC,LAC,2022-10-22,2,10,48,0.2083333333333333
BOS,ORL,2022-10-22,3,9,47,0.1914893617021276
ORL,BOS,2022-10-22,3,17,53,0.320754716981132
IND,DET,2022-10-22,3,23,62,0.3709677419354839
DET,IND,2022-10-22,3,23,62,0.3709677419354839
PHI,SAS,2022-10-22,3,17,49,0.3469387755102041
SAS,PHI,2022-10-22,3,17,49,0.3469387755102041
LAL,POR,2022-10-23,3,12,53,0.2264150943396226
POR,LAL,2022-10-23,3,16,49,0.3265306122448979
ATL,CHA,2022-10-23,3,20,60,0.3333333333333333
CHA,ATL,2022-10-23,3,17,47,0.3617021276595745
CLE,WAS,2022-10-23,3,19,56,0.3392857142857143
WAS,CLE,2022-10-23,3,14,49,0.2857142857142857
NOP,UTA,2022-10-23,3,21,55,0.3818181818181818
UTA,NOP,2022-10-23,3,19,56,0.3392857142857143
MIN,OKC,2022-10-23,3,15,47,0.3191489361702128
OKC,MIN,2022-10-23,3,15,57,0.2631578947368421
GSW,SAC,2022-10-23,3,9,47,0.1914893617021276
SAC,GSW,2022-10-23,3,18,53,0.3396226415094339
LAC,PHX,2022-10-23,3,10,49,0.2040816326530612
PHX,LAC,2022-10-23,3,16,51,0.3137254901960784
IND,PHI,2022-10-24,4,21,55,0.3818181818181818
PHI,IND,2022-10-24,4,9,44,0.2045454545454545
HOU,UTA,2022-10-24,4,23,55,0.4181818181818181
UTA,HOU,2022-10-24,4,22,54,0.4074074074074074
NYK,ORL,2022-10-24,3,23,54,0.4259259259259259
ORL,NYK,2022-10-24,4,15,51,0.2941176470588235
BKN,MEM,2022-10-24,3,13,42,0.3095238095238095
MEM,BKN,2022-10-24,4,22,51,0.4313725490196078
BOS,CHI,2022-10-24,4,16,64,0.25
CHI,BOS,2022-10-24,4,14,46,0.3043478260869565
MIN,SAS,2022-10-24,4,12,50,0.24
SAS,MIN,2022-10-24,4,21,62,0.3387096774193548
DEN,POR,2022-10-24,4,12,49,0.2448979591836734
POR,DEN,2022-10-24,4,11,40,0.275
MIA,TOR,2022-10-24,4,11,55,0.2
TOR,MIA,2022-10-24,4,12,53,0.2264150943396226
NOP,DAL,2022-10-25,4,6,34,0.1764705882352941
DAL,NOP,2022-10-25,3,13,42,0.3095238095238095
WAS,DET,2022-10-25,4,11,43,0.2558139534883721
DET,WAS,2022-10-25,4,14,56,0.25
LAC,OKC,2022-10-25,4,9,50,0.18
OKC,LAC,2022-10-25,4,26,71,0.3661971830985915
GSW,PHX,2022-10-25,4,13,52,0.25
PHX,GSW,2022-10-25,4,19,50,0.38
CLE,ORL,2022-10-26,4,19,56,0.3392857142857143
ORL,CLE,2022-10-26,5,12,48,0.25
ATL,DET,2022-10-26,4,16,48,0.3333333333333333
DET,ATL,2022-10-26,5,16,52,0.3076923076923077
NYK,CHA,2022-10-26,4,14,47,0.2978723404255319
CHA,NYK,2022-10-26,4,17,54,0.3148148148148148
PHI,TOR,2022-10-26,5,6,41,0.1463414634146341
TOR,PHI,2022-10-26,5,8,40,0.2
MIL,BKN,2022-10-26,3,16,51,0.3137254901960784
BKN,MIL,2022-10-26,4,12,55,0.2181818181818181
MIN,SAS,2022-10-26,5,2,32,0.0625
SAS,MIN,2022-10-26,5,17,53,0.320754716981132
HOU,UTA,2022-10-26,5,18,61,0.2950819672131147
UTA,HOU,2022-10-26,5,16,56,0.2857142857142857
CHI,IND,2022-10-26,5,13,45,0.2888888888888888
IND,CHI,2022-10-26,5,17,52,0.3269230769230769
DEN,LAL,2022-10-26,5,10,52,0.1923076923076923
